architecture,sg,vector_size,window,negative,epochs,train_seconds,training_loss,vocab_size,google_analogy_acc,domain_analogy_acc,domain_pair_sim,domain_pairs_used
CBOW,0,100,3,5,25,1.08,427867.0312,2985,0.0,0.0,0.753186,6
Skip-gram,1,100,3,5,25,1.31,1601697.875,2985,0.016949,0.0,0.481905,6
CBOW,0,100,3,15,25,1.37,567766.375,2985,0.0,0.0,0.662147,6
Skip-gram,1,100,3,15,25,3.54,2186816.75,2985,0.008475,0.0,0.431531,6
CBOW,0,100,3,25,25,1.62,705862.75,2985,0.0,0.0,0.658012,6
Skip-gram,1,100,3,25,25,5.23,2388412.25,2985,0.008475,0.0,0.428983,6
CBOW,0,100,6,5,25,0.96,412139.0625,2985,0.0,0.0,0.718141,6
Skip-gram,1,100,6,5,25,2.29,2601161.0,2985,0.0,0.0,0.401877,6
CBOW,0,100,6,15,25,1.38,568120.0,2985,0.0,0.0,0.622108,6
Skip-gram,1,100,6,15,25,4.99,3391698.0,2985,0.0,0.0,0.409351,6
CBOW,0,100,6,25,25,1.41,653194.4375,2985,0.008475,0.0,0.597927,6
Skip-gram,1,100,6,25,25,7.52,3946035.25,2985,0.0,0.0,0.418608,6
CBOW,0,100,10,5,25,0.85,408080.0938,2985,0.016949,0.0,0.681771,6
Skip-gram,1,100,10,5,25,2.78,3718899.0,2985,0.008475,0.0,0.392244,6
CBOW,0,100,10,15,25,1.07,576219.75,2985,0.008475,0.0,0.562954,6
Skip-gram,1,100,10,15,25,7.17,5038782.0,2985,0.0,0.0,0.398053,6
CBOW,0,100,10,25,25,1.74,657044.6875,2985,0.008475,0.0,0.535402,6
Skip-gram,1,100,10,25,25,14.15,6290170.0,2985,0.0,0.25,0.407575,6
CBOW,0,200,3,5,25,1.19,435189.5,2985,0.0,0.0,0.770544,6
Skip-gram,1,200,3,5,25,2.0,1694868.375,2985,0.008475,0.0,0.472958,6
CBOW,0,200,3,15,25,1.59,623776.5,2985,0.0,0.0,0.674323,6
Skip-gram,1,200,3,15,25,4.48,2399903.75,2985,0.008475,0.0,0.444393,6
CBOW,0,200,3,25,25,2.56,714559.25,2985,0.0,0.0,0.64408,6
Skip-gram,1,200,3,25,25,8.16,2608966.0,2985,0.008475,0.0,0.435875,6
CBOW,0,200,6,5,25,1.3,438428.6562,2985,0.0,0.0,0.749921,6
Skip-gram,1,200,6,5,25,2.99,2778677.25,2985,0.0,0.0,0.400511,6
CBOW,0,200,6,15,25,1.63,633151.4375,2985,0.0,0.0,0.630724,6
Skip-gram,1,200,6,15,25,7.93,3736834.5,2985,0.0,0.25,0.390992,6
CBOW,0,200,6,25,25,2.19,708121.25,2985,0.0,0.0,0.610467,6
Skip-gram,1,200,6,25,25,12.07,4245162.0,2985,0.0,0.0,0.399295,6
CBOW,0,200,10,5,25,1.3,420923.4688,2985,0.0,0.0,0.674315,6
Skip-gram,1,200,10,5,25,4.44,3892752.25,2985,0.0,0.25,0.369435,6
CBOW,0,200,10,15,25,1.51,578279.5625,2985,0.008475,0.0,0.56422,6
Skip-gram,1,200,10,15,25,10.35,5368187.5,2985,0.0,0.25,0.352884,6
CBOW,0,200,10,25,25,2.11,657306.5625,2985,0.016949,0.0,0.563915,6
Skip-gram,1,200,10,25,25,15.38,5808521.5,2985,0.0,0.25,0.361817,6
CBOW,0,300,3,5,25,0.96,461959.4375,2985,0.0,0.0,0.759909,6
Skip-gram,1,300,3,5,25,2.05,1713460.0,2985,0.016949,0.0,0.498173,6
CBOW,0,300,3,15,25,1.66,620126.8125,2985,0.0,0.0,0.72032,6
Skip-gram,1,300,3,15,25,4.64,2184158.5,2985,0.0,0.0,0.453313,6
CBOW,0,300,3,25,25,2.23,678512.5625,2985,0.0,0.0,0.674944,6
Skip-gram,1,300,3,25,25,7.04,2316808.75,2985,0.0,0.0,0.467112,6
CBOW,0,300,6,5,25,1.02,428117.6562,2985,0.0,0.0,0.734153,6
Skip-gram,1,300,6,5,25,3.16,2707530.25,2985,0.0,0.25,0.423957,6
CBOW,0,300,6,15,25,1.82,598543.375,2985,0.008475,0.0,0.645532,6
Skip-gram,1,300,6,15,25,7.71,3564693.5,2985,0.0,0.0,0.400079,6
CBOW,0,300,6,25,25,2.25,668174.25,2985,0.0,0.0,0.619615,6
Skip-gram,1,300,6,25,25,11.91,3637592.75,2985,0.0,0.0,0.419652,6
CBOW,0,300,10,5,25,1.19,447734.3125,2985,0.0,0.0,0.677306,6
Skip-gram,1,300,10,5,25,5.12,3837104.25,2985,0.0,0.0,0.3766,6
CBOW,0,300,10,15,25,1.78,594162.6875,2985,0.016949,0.0,0.587922,6
Skip-gram,1,300,10,15,25,11.58,5043408.5,2985,0.0,0.0,0.369307,6
CBOW,0,300,10,25,25,2.37,665349.5625,2985,0.016949,0.0,0.553715,6
Skip-gram,1,300,10,25,25,17.51,5559846.0,2985,0.0,0.25,0.356738,6
