architecture,sg,vector_size,window,negative,epochs,train_seconds,training_loss,vocab_size,google_analogy_acc,domain_analogy_acc,domain_pair_sim,domain_pairs_used
CBOW,0,64,3,5,8,0.01,125.614,12,0.0,0.0,0.0,0
Skip-gram,1,64,3,5,8,0.01,32.4949,12,0.0,0.0,0.0,0
CBOW,0,64,3,15,8,0.01,338.6515,12,0.0,0.0,0.0,0
Skip-gram,1,64,3,15,8,0.01,84.8151,12,0.0,0.0,0.0,0
CBOW,0,64,6,5,8,0.01,82.5349,12,0.0,0.0,0.0,0
Skip-gram,1,64,6,5,8,0.01,14.8157,12,0.0,0.0,0.0,0
CBOW,0,64,6,15,8,0.01,222.8972,12,0.0,0.0,0.0,0
Skip-gram,1,64,6,15,8,0.01,42.3741,12,0.0,0.0,0.0,0
CBOW,0,128,3,5,8,0.01,125.614,12,0.0,0.0,0.0,0
Skip-gram,1,128,3,5,8,0.01,32.5071,12,0.0,0.0,0.0,0
CBOW,0,128,3,15,8,0.01,338.6089,12,0.0,0.0,0.0,0
Skip-gram,1,128,3,15,8,0.01,84.7664,12,0.0,0.0,0.0,0
CBOW,0,128,6,5,8,0.01,82.5227,12,0.0,0.0,0.0,0
Skip-gram,1,128,6,5,8,0.01,14.8218,12,0.0,0.0,0.0,0
CBOW,0,128,6,15,8,0.01,222.8545,12,0.0,0.0,0.0,0
Skip-gram,1,128,6,15,8,0.01,42.3253,12,0.0,0.0,0.0,0
