query_word,resolved_cbow,resolved_skipgram,rank,neighbor_cbow,cosine_cbow,neighbor_skipgram,cosine_skipgram
research,research,research,1,dst,0.538716,sponsored,0.621953
research,research,research,2,synthase,0.503463,project,0.566253
research,research,research,3,organic,0.461586,older,0.531651
research,research,research,4,cooling,0.460825,arun,0.523791
research,research,research,5,chemistry,0.455290,cooling,0.513432
student,student,student,1,summer,0.612354,falls,0.502676
student,student,student,2,programme,0.580297,accumulate,0.500290
student,student,student,3,semester,0.539305,register,0.497609
student,student,student,4,register,0.533571,manjari,0.497554
student,student,student,5,registration,0.529651,petition,0.497376
phd,phd,phd,1,dst-inspire,0.793768,dst-inspire,0.644570
phd,phd,phd,2,mentor,0.729008,bhagat,0.556017
phd,phd,phd,3,fellowship,0.697915,perovskite,0.553071
phd,phd,phd,4,perovskite,0.681152,mentor,0.549332
phd,phd,phd,5,physics,0.672010,simultaneous,0.534502
exam,exam,exam,1,marital,0.730637,marital,0.791083
exam,exam,exam,2,bill,0.713031,belongs,0.780473
exam,exam,exam,3,status,0.711620,div,0.776055
exam,exam,exam,4,belongs,0.709427,url,0.733665
exam,exam,exam,5,id,0.708871,passed,0.709750
