architecture,sg,vector_size,window,negative,epochs,train_seconds,training_loss,vocab_size,google_analogy_acc,domain_analogy_acc,domain_pair_sim,domain_pairs_used
CBOW,0,128,5,10,25,2.2,1610715.625,10145,0.004386,0.2,0.312772,7
Skip-gram,1,128,5,10,25,9.03,7807942.0,10145,0.002193,0.0,0.375926,7
CBOW,0,128,5,20,25,3.71,1774318.125,10145,0.002193,0.0,0.268966,7
Skip-gram,1,128,5,20,25,20.81,9580040.0,10145,0.002193,0.0,0.356536,7
CBOW,0,128,10,10,25,3.76,1617987.25,10145,0.0,0.0,0.340944,7
Skip-gram,1,128,10,10,25,24.94,14416260.0,10145,0.0,0.2,0.378863,7
CBOW,0,128,10,20,25,5.8,1820454.625,10145,0.002193,0.0,0.27257,7
Skip-gram,1,128,10,20,25,50.68,18083214.0,10145,0.0,0.2,0.394943,7
CBOW,0,256,5,10,25,4.98,1903811.5,10145,0.002193,0.0,0.314777,7
Skip-gram,1,256,5,10,25,20.39,9202089.0,10145,0.002193,0.0,0.330236,7
CBOW,0,256,5,20,25,8.11,2122449.25,10145,0.006579,0.0,0.273074,7
Skip-gram,1,256,5,20,25,37.09,11276896.0,10145,0.0,0.0,0.325101,7
CBOW,0,256,10,10,25,5.25,1799222.625,10145,0.002193,0.2,0.34129,7
Skip-gram,1,256,10,10,25,34.54,16445476.0,10145,0.0,0.0,0.308964,7
CBOW,0,256,10,20,25,7.89,2253263.75,10145,0.0,0.0,0.275945,7
Skip-gram,1,256,10,20,25,62.05,18325516.0,10145,0.0,0.0,0.306518,7
